===== Simulator configuration =====
BLOCKSIZE:  16
L1_SIZE:    1024
L1_ASSOC:   1
L2_SIZE:    0
L2_ASSOC:   0
PREF_N:     1
PREF_M:     4
trace_file: traces/gcc_trace.txt
SB: 400341b  400341c  400341d  400341e  
SB: dfcfb  dfcfc  dfcfd  dfcfe  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: df7c5  df7c6  df7c7  df7c8  
SB: 423aebc  423aebd  423aebe  423aebf  
SB: 4000264  4000265  4000266  4000267  
SB: 40139de  40139df  40139e0  40139e1  
SB: 423aeba  423aebb  423aebc  423aebd  
SB: 4013894  4013895  4013896  4013897  
SB: 423aebb  423aebc  423aebd  423aebe  
SB: 7b034dd  7b034de  7b034df  7b034e0  
SB: df8a8  df8a9  df8aa  df8ab  
SB: 7b034c6  7b034c7  7b034c8  7b034c9  
SB: 7b034c7  7b034c8  7b034c9  7b034ca  
SB: df9f2  df9f3  df9f4  df9f5  
SB: 7b034db  7b034dc  7b034dd  7b034de  
SB: 7b034dd  7b034de  7b034df  7b034e0  
SB: 7b034da  7b034db  7b034dc  7b034dd  
SB: df84e  df84f  df850  df851  
SB: df84f  df850  df851  df852  
SB: df850  df851  df852  df853  
SB: 7b034d6  7b034d7  7b034d8  7b034d9  
SB: 7b034c9  7b034ca  7b034cb  7b034cc  
SB: 423aeb9  423aeba  423aebb  423aebc  
SB: 42351e4  42351e5  42351e6  42351e7  
SB: 40022e9  40022ea  40022eb  40022ec  
SB: 4214c9e  4214c9f  4214ca0  4214ca1  
SB: 4000218  4000219  400021a  400021b  
SB: 38414  38415  38416  38417  
SB: 401367e  401367f  4013680  4013681  
SB: 7b0345f  7b03460  7b03461  7b03462  
SB: 40139de  40139df  40139e0  40139e1  
SB: 4013894  4013895  4013896  4013897  
SB: 423aeb8  423aeb9  423aeba  423aebb  
SB: 42354da  42354db  42354dc  42354dd  
SB: 423aeb7  423aeb8  423aeb9  423aeba  
SB: 423aeb8  423aeb9  423aeba  423aebb  
SB: 7b0345e  7b0345f  7b03460  7b03461  
SB: 40139de  40139df  40139e0  40139e1  
SB: 7b034da  7b034db  7b034dc  7b034dd  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: 7b034df  7b034e0  7b034e1  7b034e2  
SB: 7b034e0  7b034e1  7b034e2  7b034e3  
SB: 7b034ca  7b034cb  7b034cc  7b034cd  
SB: 7b034cc  7b034cd  7b034ce  7b034cf  
SB: 7b034cd  7b034ce  7b034cf  7b034d0  
SB: 40139aa  40139ab  40139ac  40139ad  
SB: 40139a9  40139aa  40139ab  40139ac  
SB: 40139bb  40139bc  40139bd  40139be  
SB: 401364d  401364e  401364f  4013650  
SB: 40139cb  40139cc  40139cd  40139ce  
SB: 7b034cd  7b034ce  7b034cf  7b034d0  
SB: 7b034d5  7b034d6  7b034d7  7b034d8  
SB: 7b034cf  7b034d0  7b034d1  7b034d2  
SB: 7b034d2  7b034d3  7b034d4  7b034d5  
SB: 7b034d6  7b034d7  7b034d8  7b034d9  
SB: 7b034d3  7b034d4  7b034d5  7b034d6  
SB: 7b034d5  7b034d6  7b034d7  7b034d8  
SB: 40139de  40139df  40139e0  40139e1  
SB: 7b034d0  7b034d1  7b034d2  7b034d3  
SB: 423aebb  423aebc  423aebd  423aebe  
SB: 400015b  400015c  400015d  400015e  
